w1_num,w1_cpu,w1_mem,w2_num,w2_cpu,w2_mem,w3_num,w3_cpu,w3_mem,w4_num,w4_cpu,w4_mem,time,nr_query_cols,nr_query_conds,nr_data_cols,nr_data_rows,nr_users
0,5,4,3,4,3,2,1,2,0,1,2,46.925020146,2,1,2500,1000002,1
1,5,4,3,4,3,2,1,2,0,1,2,50.10738371,2,1,2500,1000002,1
2,5,4,3,4,3,2,1,2,0,1,2,35.109441778,2,1,2500,1000002,1
3,5,4,3,4,3,2,1,2,0,1,2,40.888978701,2,1,2500,1000002,1
0,6,4,3,4,3,2,1,2,0,1,2,52.417003118,2,1,2500,1000002,1
1,6,4,3,4,3,2,1,2,0,1,2,50.834943748,2,1,2500,1000002,1
2,6,4,3,4,3,2,1,2,0,1,2,36.990800417,2,1,2500,1000002,1
3,6,4,3,4,3,2,1,2,0,1,2,46.746072127,2,1,2500,1000002,1
0,5,4,0,3,3,3,1,2,0,1,2,57.922689765,2,1,2500,1000002,1
1,5,4,0,3,3,3,1,2,0,1,2,32.043882155,2,1,2500,1000002,1
2,5,4,0,3,3,3,1,2,0,1,2,61.963209173,2,1,2500,1000002,1
3,5,4,0,3,3,3,1,2,0,1,2,37.568053231,2,1,2500,1000002,1
0,6,4,0,3,3,3,1,2,0,1,2,46.974614996,2,1,2500,1000002,1
1,6,4,0,3,3,3,1,2,0,1,2,69.773197724,2,1,2500,1000002,1
2,6,4,0,3,3,3,1,2,0,1,2,51.983351862,2,1,2500,1000002,1
3,6,4,0,3,3,3,1,2,0,1,2,42.357638857,2,1,2500,1000002,1
0,5,4,1,3,3,3,1,2,0,1,2,67.017861685,2,1,2500,1000002,1
1,5,4,1,3,3,3,1,2,0,1,2,56.855383971,2,1,2500,1000002,1
2,5,4,1,3,3,3,1,2,0,1,2,61.4435921,2,1,2500,1000002,1
3,5,4,1,3,3,3,1,2,0,1,2,44.153570148,2,1,2500,1000002,1
0,6,4,1,3,3,3,1,2,0,1,2,45.882485559,2,1,2500,1000002,1
1,6,4,1,3,3,3,1,2,0,1,2,51.398447333,2,1,2500,1000002,1
2,6,4,1,3,3,3,1,2,0,1,2,46.828322765,2,1,2500,1000002,1
3,6,4,1,3,3,3,1,2,0,1,2,37.594099327,2,1,2500,1000002,1
0,5,4,2,3,3,3,1,2,0,1,2,58.554822167,2,1,2500,1000002,1
1,5,4,2,3,3,3,1,2,0,1,2,36.807875968,2,1,2500,1000002,1
2,5,4,2,3,3,3,1,2,0,1,2,41.138980854,2,1,2500,1000002,1
3,5,4,2,3,3,3,1,2,0,1,2,48.217521099,2,1,2500,1000002,1
0,6,4,2,3,3,3,1,2,0,1,2,61.954239808,2,1,2500,1000002,1
1,6,4,2,3,3,3,1,2,0,1,2,54.497352176,2,1,2500,1000002,1
2,6,4,2,3,3,3,1,2,0,1,2,70.083204715,2,1,2500,1000002,1
3,6,4,2,3,3,3,1,2,0,1,2,41.420233765,2,1,2500,1000002,1
0,5,4,3,3,3,3,1,2,0,1,2,52.731845698,2,1,2500,1000002,1
1,5,4,3,3,3,3,1,2,0,1,2,61.40780832,2,1,2500,1000002,1
2,5,4,3,3,3,3,1,2,0,1,2,57.460336868,2,1,2500,1000002,1
3,5,4,3,3,3,3,1,2,0,1,2,45.631813357,2,1,2500,1000002,1
