config #	worker1.replicaCount	worker1.resources.requests.cpu	worker1.resources.requests.memory	worker2.replicaCount	worker2.resources.requests.cpu	worker2.resources.requests.memory	worker3.replicaCount	worker3.resources.requests.cpu	worker3.resources.requests.memory	worker4.replicaCount	worker4.resources.requests.cpu	worker4.resources.requests.memory	SLAName	CompletionTime	Successfull	
105	1	5	4	1	4	3	1	1	2	0	1	2	silver	48.39991438	true	
106	2	5	4	1	4	3	1	1	2	0	1	2	silver	70.556796788	true	
107	3	5	4	1	4	3	1	1	2	0	1	2	silver	71.094861208	true	
108	0	6	4	1	4	3	1	1	2	0	1	2	silver	60.746365559	true	
109	1	6	4	1	4	3	1	1	2	0	1	2	silver	86.391309111	true	
110	2	6	4	1	4	3	1	1	2	0	1	2	silver	64.969140425	true	
111	3	6	4	1	4	3	1	1	2	0	1	2	silver	51.675375276	true	
112	0	5	4	2	4	3	1	1	2	0	1	2	silver	59.932987752	true	
113	1	5	4	2	4	3	1	1	2	0	1	2	silver	61.741449807	true	
114	2	5	4	2	4	3	1	1	2	0	1	2	silver	63.676040868	true	
115	3	5	4	2	4	3	1	1	2	0	1	2	silver	68.342152238	true	
116	0	6	4	2	4	3	1	1	2	0	1	2	silver	75.292332661	true	
117	1	6	4	2	4	3	1	1	2	0	1	2	silver	79.509757234	true	
118	2	6	4	2	4	3	1	1	2	0	1	2	silver	62.18691172	true	
119	3	6	4	2	4	3	1	1	2	0	1	2	silver	65.24116799	true	
120	0	5	4	3	4	3	1	1	2	0	1	2	silver	59.250188279	true	
121	1	5	4	3	4	3	1	1	2	0	1	2	silver	67.210199546	true	
122	2	5	4	3	4	3	1	1	2	0	1	2	silver	61.118068476	true	
123	3	5	4	3	4	3	1	1	2	0	1	2	silver	56.799103369	true	
124	0	6	4	3	4	3	1	1	2	0	1	2	silver	71.872984295	true	
125	1	6	4	3	4	3	1	1	2	0	1	2	silver	48.603581373	true	
126	2	6	4	3	4	3	1	1	2	0	1	2	silver	61.38838445	true	
127	3	6	4	3	4	3	1	1	2	0	1	2	silver	55.759237795	true	
128	0	5	4	0	3	3	2	1	2	0	1	2	silver	81.761642702	true	
129	1	5	4	0	3	3	2	1	2	0	1	2	silver	71.649240259	true	
130	2	5	4	0	3	3	2	1	2	0	1	2	silver	68.648394702	true	
131	3	5	4	0	3	3	2	1	2	0	1	2	silver	63.258189114	true	
132	0	6	4	0	3	3	2	1	2	0	1	2	silver	76.117944247	true	
133	1	6	4	0	3	3	2	1	2	0	1	2	silver	67.778564376	true	
134	2	6	4	0	3	3	2	1	2	0	1	2	silver	60.99591322	true	
135	3	6	4	0	3	3	2	1	2	0	1	2	silver	66.628172566	true	
136	0	5	4	1	3	3	2	1	2	0	1	2	silver	84.662924539	true	
137	1	5	4	1	3	3	2	1	2	0	1	2	silver	54.239678276	true	
138	2	5	4	1	3	3	2	1	2	0	1	2	silver	79.093563066	true	
139	3	5	4	1	3	3	2	1	2	0	1	2	silver	74.53268676	true	
140	0	6	4	1	3	3	2	1	2	0	1	2	silver	63.157218197	true	
141	1	6	4	1	3	3	2	1	2	0	1	2	silver	66.521897112	true	
142	2	6	4	1	3	3	2	1	2	0	1	2	silver	66.057062767	true	
143	3	6	4	1	3	3	2	1	2	0	1	2	silver	52.031051855	true	
144	0	5	4	2	3	3	2	1	2	0	1	2	silver	74.003057092	true	
145	1	5	4	2	3	3	2	1	2	0	1	2	silver	67.193267719	true	
146	2	5	4	2	3	3	2	1	2	0	1	2	silver	68.826844643	true	
147	3	5	4	2	3	3	2	1	2	0	1	2	silver	58.564679714	true	
148	0	6	4	2	3	3	2	1	2	0	1	2	silver	58.009372057	true	
149	1	6	4	2	3	3	2	1	2	0	1	2	silver	58.347745731	true	
150	2	6	4	2	3	3	2	1	2	0	1	2	silver	53.277378184	true	
151	3	6	4	2	3	3	2	1	2	0	1	2	silver	55.127411501	true	
152	0	5	4	3	3	3	2	1	2	0	1	2	silver	55.825319767	true	
153	1	5	4	3	3	3	2	1	2	0	1	2	silver	67.582730079	true	
154	2	5	4	3	3	3	2	1	2	0	1	2	silver	61.610902483	true	
155	3	5	4	3	3	3	2	1	2	0	1	2	silver	60.85237677	true	
156	0	6	4	3	3	3	2	1	2	0	1	2	silver	64.289214352	true	
157	1	6	4	3	3	3	2	1	2	0	1	2	silver	62.778310187	true	
158	2	6	4	3	3	3	2	1	2	0	1	2	silver	56.574533721	true	
159	3	6	4	3	3	3	2	1	2	0	1	2	silver	57.192273959	true	
160	0	5	4	0	4	3	2	1	2	0	1	2	silver	81.022750458	true	
161	1	5	4	0	4	3	2	1	2	0	1	2	silver	65.880372345	true	
162	2	5	4	0	4	3	2	1	2	0	1	2	silver	61.525065969	true	
163	3	5	4	0	4	3	2	1	2	0	1	2	silver	62.206410584	true	
164	0	6	4	0	4	3	2	1	2	0	1	2	silver	100.529641117	true	
165	1	6	4	0	4	3	2	1	2	0	1	2	silver	75.40410563	true	
166	2	6	4	0	4	3	2	1	2	0	1	2	silver	60.989886006	true	
167	3	6	4	0	4	3	2	1	2	0	1	2	silver	65.368698904	true	
168	0	5	4	1	4	3	2	1	2	0	1	2	silver	84.875577826	true	
169	1	5	4	1	4	3	2	1	2	0	1	2	silver	61.891075399	true	
170	2	5	4	1	4	3	2	1	2	0	1	2	silver	88.121718221	true	
171	3	5	4	1	4	3	2	1	2	0	1	2	silver	68.947979536	true	
172	0	6	4	1	4	3	2	1	2	0	1	2	silver	61.804851812	true	
173	1	6	4	1	4	3	2	1	2	0	1	2	silver	52.234104757	true	
174	2	6	4	1	4	3	2	1	2	0	1	2	silver	53.373779904	true	
175	3	6	4	1	4	3	2	1	2	0	1	2	silver	78.773220193	true	
176	0	5	4	2	4	3	2	1	2	0	1	2	silver	81.668023231	true	
177	1	5	4	2	4	3	2	1	2	0	1	2	silver	98.514098166	true	
178	2	5	4	2	4	3	2	1	2	0	1	2	silver	63.505384676	true	
179	3	5	4	2	4	3	2	1	2	0	1	2	silver	55.820598157	true	
180	0	6	4	2	4	3	2	1	2	0	1	2	silver	74.726651396	true	
181	1	6	4	2	4	3	2	1	2	0	1	2	silver	59.563276372	true	
182	2	6	4	2	4	3	2	1	2	0	1	2	silver	61.408125699	true	
183	3	6	4	2	4	3	2	1	2	0	1	2	silver	51.546382737	true	
184	0	5	4	3	4	3	2	1	2	0	1	2	silver	68.745634134	true	
185	1	5	4	3	4	3	2	1	2	0	1	2	silver	80.033876437	true	
186	2	5	4	3	4	3	2	1	2	0	1	2	silver	64.572991578	true	
187	3	5	4	3	4	3	2	1	2	0	1	2	silver	55.465722552	true	
188	0	6	4	3	4	3	2	1	2	0	1	2	silver	65.880784202	true	
189	1	6	4	3	4	3	2	1	2	0	1	2	silver	57.544352016	true	
190	2	6	4	3	4	3	2	1	2	0	1	2	silver	69.451836285	true	
191	3	6	4	3	4	3	2	1	2	0	1	2	silver	58.59944142	true	
192	0	5	4	0	3	3	3	1	2	0	1	2	silver	38.111285121	true	
193	1	5	4	0	3	3	3	1	2	0	1	2	silver	61.661085939	true	
194	2	5	4	0	3	3	3	1	2	0	1	2	silver	68.235246116	true	
195	3	5	4	0	3	3	3	1	2	0	1	2	silver	57.703156458	true	
196	0	6	4	0	3	3	3	1	2	0	1	2	silver	88.023806001	true	
197	1	6	4	0	3	3	3	1	2	0	1	2	silver	68.515352984	true	
198	2	6	4	0	3	3	3	1	2	0	1	2	silver	70.442074525	true	
199	3	6	4	0	3	3	3	1	2	0	1	2	silver	61.378741593	true	
200	0	5	4	1	3	3	3	1	2	0	1	2	silver	59.659724561	true	
201	1	5	4	1	3	3	3	1	2	0	1	2	silver	85.590123693	true	
202	2	5	4	1	3	3	3	1	2	0	1	2	silver	75.573924604	true	
203	3	5	4	1	3	3	3	1	2	0	1	2	silver	63.791017609	true	
204	0	6	4	1	3	3	3	1	2	0	1	2	silver	56.806778684	true	
205	1	6	4	1	3	3	3	1	2	0	1	2	silver	64.277415474	true	
206	2	6	4	1	3	3	3	1	2	0	1	2	silver	64.524404712	true	
207	3	6	4	1	3	3	3	1	2	0	1	2	silver	53.632679299	true	
208	0	5	4	2	3	3	3	1	2	0	1	2	silver	71.156551327	true	
209	1	5	4	2	3	3	3	1	2	0	1	2	silver	71.586535364	true	
210	2	5	4	2	3	3	3	1	2	0	1	2	silver	66.186185728	true	
211	3	5	4	2	3	3	3	1	2	0	1	2	silver	65.369975908	true	
