,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1.61107E+12,2350330908,7,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",2234271987,overwrite,,116058921,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,3045150499,8,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",2940840952,overwrite,,104309547,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
sql,1.61107E+12,3011056199,9,FALSE,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",2889432069,overwrite,,121624130,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,34897,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210119153647-0001,Run two different SQL queries over the dataset in two different formats
select c from csv,,20186932926,,,,,20054206771,,,176115640.1,,,,,,,,,,,,,
select c from csv,,20.18693293,,,,,20.05420677,,,0.17611564,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
